code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.AAPJ,AAP INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273684,False,N/A,False,,US_PINK
US.AAPL,Apple,1,STOCK,N/A,,N/A,,N/A,N/A,1980-12-12,205189,False,N/A,False,,US_NASDAQ
US.AAPT,ALL AMERICAN PET COMPANY INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84628035834182,False,N/A,False,,US_PINK
US.AAQL,ANTIAGING QUANTUM LIVING INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273685,False,N/A,False,,US_PINK
US.AARD,Aardvark Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,2025-02-13,86440512046188,False,N/A,False,,US_NASDAQ
US.AARTY,AIRTEL AFRICA PLC UNSPON ADS EACH REP 10 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273687,False,N/A,False,,US_PINK
US.AAS,Antharas,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86341727798079,False,N/A,False,,US_NASDAQ
US.AASP,AGASSI SPORTS ENTERTAINMENT CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270312,False,N/A,False,,US_PINK
US.AATC,Autoscope Technologies,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80865644473181,False,N/A,False,,US_PINK
US.AATGD,AATGD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85306640676532,False,N/A,False,,US_PINK
US.AATV,ADAPTIVE AD SYSTEMS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511675,False,N/A,False,,US_PINK
US.AAUC,Allied Gold,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86960203090471,False,N/A,False,,US_NYSE
US.AAVMY,ABN AMRO BANK N.V. UNSPON ADS EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512730,False,N/A,False,,US_PINK
US.AAWH,ASCEND WELLNESS HLDGS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84366042827629,False,N/A,False,,US_PINK
US.AAYYY,AUSTRALIAN AGRICULTURAL COMPANY LTD UNSP ADR EA REPR 10 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273691,False,N/A,False,,US_PINK
US.AB,AllianceBernstein Holding,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202822,False,N/A,False,,US_NYSE
US.ABAT,American Battery Technology,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84267258553701,False,N/A,False,,US_NASDAQ
US.ABBB,"Auburn Bancorp, Inc.",1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,77975131476160,False,N/A,False,,US_PINK
US.ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83747567534127,False,N/A,False,,US_PINK
US.ABBV,AbbVie,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206654,False,N/A,False,,US_NYSE
US.ABCB,Ameris Bancorp,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206061,False,N/A,False,,US_NYSE
US.ABCL,AbCellera Biologics,1,STOCK,N/A,,N/A,,N/A,N/A,2020-12-11,79899276826805,False,N/A,False,,US_NASDAQ
US.ABCP,AMBASE CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511416,False,N/A,False,,US_PINK
US.ABDBY,ALM. BRAND UNSPON ADS EACH REP 2 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273693,False,N/A,False,,US_PINK
US.ABEO,Abeona Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,211094,False,N/A,False,,US_NASDAQ
US.ABEV,Ambev SA,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206650,False,N/A,False,,US_NYSE
US.ABG,Asbury Automotive,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205293,False,N/A,False,,US_NYSE
US.ABHBY,ALFEN NV UNSPN ADS ECH REP 0.5 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273697,False,N/A,False,,US_PINK
US.ABIT,ATHENA BITCOIN GLOBAL,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83910776291644,False,N/A,False,,US_PINK
US.ABLT,AMERICAN BILTRITE INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273699,False,N/A,False,,US_PINK
US.ABLV,Able View Global,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84121229691253,False,N/A,False,,US_NASDAQ
US.ABM,ABM Industries,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205393,False,N/A,False,,US_NYSE
US.ABML,AMERICAN BATTERY TECHNOLOGY CO,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,79869212055684,False,N/A,False,,US_PINK
