code,name,detail,market,collateral
YSWY,イエスウェイ,米国のコンビニエンスストア運営会社,NASDAQ,
TRAX,ファースト　トラックス　バイオセラピューティクス,米国の臨床段階のバイオテクノロジー会社,NASDAQ,
VGNT,ヴァーシジェント,スイスの電気配電システム事業会社,NYSE,
FSUN,ファーストサン　キャピタル　バンコープ,米国の金融持株会社,NASDAQ,
HMH,ＨＭＨ　ホールディング,石油・ガス掘削機器を提供する米国の会社,NASDAQ,
MMED,ミニメッド　グループ,米国の医療技術会社,NASDAQ,
AGBK,ＡＧＩ,ブラジルの専門金融サービス会社,NYSE,
MWH,ソルブ　エナジー,米国のインフラサービス提供会社,NASDAQ,
APC,アルコ　ペトロリアム,米国の燃料卸売業者,NASDAQ,
OFRM,ワンス　アポン　ア　ファーム,米国のパブリック・ベネフィット・コーポレーション,NYSE,
EIKN,アイコン　セラピューティクス,米国の臨床段階のバイオ医薬品会社,NASDAQ,
BOBS,ボブズ　ディスカウント　ファニチャー,米国のオムニチャネル・ホームファニチャー小売業者,NYSE,
FPS,フォージェント　パワー　ソリューションズ,配電設備を設計・製造する米国の会社,NYSE,
AZN,アストラゼネカ,英国のバイオ医薬品会社,NYSE,○
ALAB,アステラ　ラブス,半導体ベース接続ソリューションを提供する米国の会社,NASDAQ,
LIFE,エートス　テクノロジーズ,保険テクノロジープラットフォームを提供する米国企業,NASDAQ,
PICS,ピックス,デジタル決済ソリューションを提供するブラジルの会社,NASDAQ,
YSS,ヨーク　スペース　システムズ,米国の宇宙防衛関連プログラム請負業者,NYSE,
EQPT,エクイプメントシェア　ドットコム,建設機器レンタルプラットフォームを提供する米国企業,NASDAQ,
BTGO,ビットゴー　ホールディングス,米国のデジタル資産インフラ企業,NYSE,
COMP,コンパス,不動産業界向けプラットフォームを提供する米国の会社,NYSE,
VSNT,バーサント　メディア　グループ,米国のメディア・エンターテインメント企業,NASDAQ,
MDLN,メドライン,米国の医療機器・外科製品メーカー,NASDAQ,
WLTH,ウェルスフロント,金融ソリューションプラットフォームを提供する米国企業,NASDAQ,○
LMRI,ルメクサ　イメージング　ホールディングス,医療診断用画像サービスを提供する米国の会社,NASDAQ,○
CDNL,カーディナル　インフラストラクチャー　グループ,インフラサービスを提供する米国の会社,NASDAQ,○
MICC,マグナム　アイスクリーム　カンパニー,オランダのアイスクリームメーカー,NYSE,○
CBC,セントラル　バンカンパニー,ミズーリ州などで業務を行う米国の銀行持株会社,NASDAQ,○
CANG,カンゴ,自動車取引プラットフォームを提供する中国の会社,NYSE,
BLLN,ビリオントゥーワン,分子診断技術を開発・提供する米国の会社,NASDAQ,○
Q,キューニティ　エレクトロニクス,半導体技術とインターコネクト製品を提供する米国企業,NYSE,○
SOLS,ソルスティス　アドバンスト　マテリアルズ,米国の先端材料企業,NASDAQ,○
PTRN,パターン　グループ,米国のECアクセラレーションプラットフォーム提供会社,NASDAQ,○
NTSK,ネットスコープ,米国のクラウドネイティブプラットフォーム提供会社,NASDAQ,○
STUB,スタブハブ　ホールディングス,米国のセカンダリーチケットオンライン市場運営会社,NYSE,○
CRCL,サークル　インターネット　グループ,米国のステーブルコイン会社,NYSE,○
VIA,ヴィア　トランスポーテーション,オンデマンドシェアライドを提供する米国の会社,NYSE,○
LGN,レジェンス,施設のエンジニアリング・設置・保守を行う米国の会社,NASDAQ,○
GEMI,ジェミニ　スペース　ステーション,暗号資産プラットフォームを提供する米国の会社,NASDAQ,○
BRCB,ブラック　ロック　コーヒー　バー,ドライブスルー・コーヒーバーを運営する米国の会社,NASDAQ,○
KLAR,クラーナ　グループ,決済および広告ソリューションを提供する英国の会社,NYSE,○
FIGR,フィギュア　テクノロジー　ソリューションズ,金融テクノロジープラットフォームを提供する米国企業,NASDAQ,○
A,アジレント　テクノロジーズ,分析および臨床検査技術・機器を提供する米国の会社,NYSE,○
AA,アルコア,米国のボーキサイト採掘・アルミニウム精製会社,NYSE,○
AAL,アメリカン　エアラインズ　グループ,米国の航空会社,NASDAQ,○
AAMI,アカディアン　アセット　マネジメント,米国の資産運用会社,NYSE,○
AAON,エーオン,冷暖房設備を扱う米国のメーカー,NASDAQ,○
AAP,アドバンス　オート　パーツ,米国の自動車関連製品販売会社,NYSE,○
AAPL,アップル,PC・モバイル機器を販売する米国の会社,NASDAQ,○
AATC,オートスコープ　テクノロジーズ,米国の道路交通映像検出・レーダ探知装置開発・販売会社,OTC,
ABBV,アッヴィ,米国の研究開発型バイオ医薬品会社,NYSE,○
ABCB,アメリス　バンコープ,主にジョージア州で業務を行う米国の銀行持株会社,NYSE,○
ABG,アズベリー　オートモーティブ　グループ,米国のフランチャイズ自動車小売業者,NYSE,○
ABM,ＡＢＭ　インダストリーズ,米国の総合施設管理サービス会社,NYSE,○
ABNB,エアビーアンドビー,旅行予約サイトを運営する米国の会社,NASDAQ,○
ABT,アボット　ラボラトリーズ,ヘルスケア製品を提供する米国のメーカー,NYSE,○
ABUS,アルブータス　バイオファーマ,米国の臨床段階のバイオ医薬品会社,NASDAQ,
ACA,アルコサ,インフラ関連製品を製造・販売する米国の会社,NYSE,○
ACGL,アーチ　キャピタル　グループ,バミューダ諸島の保険持株会社,NASDAQ,○
ACHC,アカディア　ヘルスケア,米国の医療施設運営会社,NASDAQ,○
ACHV,アチーヴ　ライフ　サイエンシズ,米国の臨床段階のバイオ医薬品会社,NASDAQ,
ACI,アルバートソンズ　カンパニー,米国の食品および医薬品小売業者,NYSE,○
ACLS,アクセリス　テクノロジーズ,IC製造用イオン注入装置を製造・販売する米国の会社,NASDAQ,○
ACM,エイコム,米国のインフラコンサルティングサービス会社,NYSE,○
ACN,アクセンチュア　Ａ,アイルランドのコンサルティングサービス会社,NYSE,○
ACTG,アカシア　リサーチ,事業の買収と運営に注力する米国の会社,NASDAQ,
AD,アレイ　デジタル　インフラストラクチャー,米国の共有無線通信インフラ所有・運営会社,NYSE,○
ADBE,アドビ,米国のソフトウェア会社,NASDAQ,○
ADI,アナログ　デバイセズ,広範な集積回路の設計・製造・販売を行う米国のメーカー,NASDAQ,○
ADIL,エーダイヤル　ファーマシューティカルズ,米国の臨床段階のバイオ医薬品会社,NASDAQ,
ADM,アーチャー　ダニエルズ　ミッドランド,米国の農産物加工・食品原料メーカー,NYSE,○
ADNT,アディエント,アイルランドの自動車シートメーカー,NYSE,○
ADP,オートマチック　データ　プロセシング,人材管理ソリューションを提供する米国の会社,NASDAQ,○
ADSK,オートデスク,製品開発・製造ソフトウェアを提供する米国の会社,NASDAQ,○
ADT,ＡＤＴ,米国のセキュリティサービス会社,NYSE,○
AEBI,エービ　シュミット　ホールディング,インフラ整備や耕作向けの特殊車両メーカー,NASDAQ,○
AEE,アメレン,米国の電力・ガス事業を手掛ける公益持株会社,NYSE,○
AEHR,エア　テスト　システムズ,半導体デバイスのテストシステムを提供する米国の会社,NASDAQ,○
AEIS,アドバンスド　エナジー　インダストリーズ,電力変換・制御ソリューションを提供する米国の会社,NASDAQ,○
AEM,アグニコ　イーグル　マインズ,カナダの金生産会社,NYSE,○
AEP,アメリカン　エレクトリック　パワー,米国の電気公共事業持株会社,NASDAQ,○
AER,エアキャップ　ホールディングス,アイルランドの航空機リース会社,NYSE,○
AES,ＡＥＳ,米国の発電・公益事業会社,NYSE,○
AEYE,オーディオアイ,SaaSベースのソリューションを提供する米国の会社,NASDAQ,○
AFG,アメリカン　ファイナンシャル　グループ,米国の保険持株会社,NYSE,○
AFL,アフラック,米国の生命保険会社,NYSE,○
AFRM,アファーム　ホールデイングス,決済ソリューションを提供する米国の会社,NASDAQ,○
AG,ファースト　マジェスティック　シルバー,鉱物の生産・開発・探査・取得に携わるカナダの会社,NYSE,○
AGCO,アグコ,農業機械・精密農業技術を開発・製造する米国の会社,NYSE,○
AGEN,アジェナス,米国の臨床段階のバイオテクノロジー会社,NASDAQ,
RYM,リズム,大麻産業向けブランドソリューション開発する米国企業,NASDAQ,○
AGIO,アジオス　ファーマシューティカルズ,米国のバイオ医薬品会社,NASDAQ,○
AGL,アジロン　ヘルス,メディケアのプラットフォームを提供する米国の会社,NYSE,
AGO,アシュアド　ギャランティ,信用保証・資産運用業務を行うバミューダ諸島の会社,NYSE,○
AGX,アルガン,米国のエネルギー関連の建設・その他サービス会社,NYSE,○
AI,Ｃ３　ａｉ,AIアプリケーションソフトウェアを提供する米国の会社,NYSE,○
AIFU,ＡＩＦＵ,中国の金融サービスプロバイダー,NASDAQ,
AIG,アメリカン　インターナショナル　グループ,米国の保険持株会社,NYSE,○
AIN,アルバニー　インターナショナル,米国の高性能エンジニアードファブリック・材料加工会社,NYSE,○
AIR,ＡＡＲ,製品とサービスを提供する米国の会社,NYSE,○
AIRT,エアー　Ｔ,配送サービスと関連機器を扱う米国の航空持株会社,NASDAQ,○
AIT,アプライド　インダストリアル　テクノロジーズ,産業用製品の販売・サービスを行う米国の会社,NYSE,○
AIZ,アシュラント,米国の特殊保険会社,NYSE,○
AJG,アーサー　Ｊ　ギャラガー,米国の保険ブローカー,NYSE,○
AKAM,アカマイ　テクノロジーズ,米国のクラウドコンピューティングソリューション会社,NASDAQ,○
ALB,アルベマール,米国の特殊化学製品メーカー,NYSE,○
ALC,アルコン,スイスの眼科医療製品メーカー,NYSE,○
ALEC,アレクター,米国の臨床段階のバイオ医薬品会社,NASDAQ,
ALGM,アレグロ　マイクロシステムズ,半導体デバイスを開発・提供する米国の会社,NASDAQ,○
ALGN,アライン　テクノロジー,米国の歯科医療機器メーカー,NASDAQ,○
ALK,アラスカ　エア　グループ,米国の民間航空会社,NYSE,○
ALKS,アルカームス,アイルランドのバイオ医薬品会社,NASDAQ,○
ALL,オールステート,米国の保険持株会社,NYSE,○
ALLE,アレジオン,セキュリティ関連サービスを提供するアイルランド企業,NYSE,○
ALLY,アライ　ファイナンシャル,米国のデジタル金融サービス会社,NYSE,○
ALNY,アルナイラム　ファーマシューティカルズ,米国のバイオ医薬品会社,NASDAQ,○
ALOT,アストロノヴァ,データ可視化技術を提供する米国の会社,NASDAQ,○
ALRM,アラーム　ドットコム　ホールディングス,不動産の管理ソリューションを提供する米国の会社,NASDAQ,○
ALSN,アリソン　トランスミッション　ホールディングス,米国の車両用完全自動変速機メーカー,NYSE,○
ALV,オートリブ,スウェーデンの自動車部品メーカー,NYSE,○
ALXO,ＡＬＸ　オンコロジー　ホールディングス,米国の臨床段階のバイオテクノロジー会社,NASDAQ,
AMAT,アプライド　マテリアルズ,半導体製造装置を製造する米国の会社,NASDAQ,○
AMBA,アンバレラ,SoC半導体とソフトウェアを開発する米国の会社,NASDAQ,○
AMC,ＡＭＣ　エンターテインメント　ホールディングス,映画館を所有・運営する米国の会社,NYSE,
AMCR,アムコア,包装ソリューションを開発・製造する英国の会社,NYSE,○
AMCX,ＡＭＣ　グローバル　メディア,米国のエンターテインメント持株会社,NASDAQ,○
AMD,アドバンスト　マイクロ　デバイシズ,米国の半導体メーカー,NASDAQ,○
AME,アメテック,米国の電子計器・電子機械装置メーカー,NYSE,○
AMG,アフィリエーテッド　マネジャーズ　グループ,米国の投資運用会社,NYSE,○
AMGN,アムジェン,米国のバイオテクノロジー会社,NASDAQ,○
AMKR,アムコー　テクノロジー,半導体パッケージング・検査業務を行う米国の会社,NASDAQ,○
AMN,ＡＭＮ　ヘルスケア　サービシズ,医療機関向け人材ソリューションを提供する米国の会社,NYSE,○
AMP,アメリプライズ　ファイナンシャル,米国の金融サービス持株会社,NYSE,○
AMPH,アンファスター　ファーマシューティカルズ,米国のバイオ医薬品会社,NASDAQ,○
AMR,アルファ　メタラジカル　リソーシズ,米国の鉱業会社,NYSE,○
AMRC,アメレスコ,エネルギー関連サービスを提供する米国の会社,NYSE,○
GOLD,ゴールドドットコム,米国の貴金属・収集品の卸売・小売業者,NYSE,○
AMSF,アメリセーフ,労働者災害補償保険を取り扱う米国の保険持株会社,NASDAQ,○
AMTB,アメラント　バンコープ,主にフロリダ州において業務を行う米国の金融持株会社,NYSE,○
AMTM,アメンタム　ホールディングス,米国の先進エンジニアリング・技術関連サービス会社,NYSE,○
AMTX,アメティス,米国の再生可能天然ガス・再生可能燃料会社,NASDAQ,
AMWD,アメリカン　ウッドマーク,米国のキャビネットメーカー,NASDAQ,○
AMWL,アメリカン　ウェル,デジタル遠隔医療プラットフォームを提供する米国の会社,NYSE,
AMZN,アマゾン　ドット　コム,米国のオンライン小売とテクノロジーサービスの会社,NASDAQ,○
AN,オートネーション,米国の自動車販売店,NYSE,○
ANAB,アナプティスバイオ,米国の医薬品ロイヤルティ管理会社,NASDAQ,○
ANDE,アンダーソンズ,米国のアグリビジネス・再生可能エネルギー事業会社,NASDAQ,○
ANET,アリスタ　ネットワークス,米国のクラウドネットワーク製品開発・販売会社,NYSE,○
ANIX,アニーシャ　バイオサイエンシズ,米国のバイオテクノロジー会社,NASDAQ,
ANY,スフィア　３Ｄ,米国のビットコインマイニング事業会社,NASDAQ,
AON,エーオン,アイルランドのリスク管理コンサルティング会社,NYSE,○
AOS,Ａ．Ｏ．　スミス,給湯器・ボイラーなどを製造・販売する米国の会社,NYSE,○
AOSL,アルファ　アンド　オメガ　セミコンダクター,パワー半導体を設計・開発するバミューダ諸島の会社,NASDAQ,○
APA,エイピーエイ,天然ガス・原油の探鉱・生産をする米国の会社,NASDAQ,○
APAM,アルチザン　パートナーズ　アセット　マネジメント,米国の投資運用会社,NYSE,○
APD,エアープロダクツ　アンド　ケミカルズ,米国の産業用ガス会社,NYSE,○
APH,アンフェノール　Ａ,米国のコネクタ・接続システム・センサーメーカー,NYSE,○
APLS,アペリス　ファーマシューティカルズ,米国のバイオ医薬品会社,NASDAQ,○
APOG,アポジー　エンタープライジズ,建築物のフレームや高性能ガラスを提供する米国の会社,NASDAQ,○
APP,アップロビン,アプリ収益化のソリューションを提供する米国の会社,NASDAQ,○
APPF,アプフォリオ,不動産管理プラットフォームを提供する米国の会社,NASDAQ,○
APPN,アピアン,米国のソフトウェア会社,NASDAQ,○
APPS,デジタル　タービン,米国のアプリ内モバイル動画広告プラットフォーム会社,NASDAQ,
APTV,アプティブ,スイスの産業技術会社,NYSE,○
APYX,アピックス　メディカル,米国の医療機器メーカー,NASDAQ,
AR,アンテロ　リソーシズ,米国の独立系天然ガス・石油会社,NYSE,○
ARCB,アークベスト,米国の総合物流会社,NASDAQ,○
ARCT,アークトゥルス　セラピューティクス,米国のバイオ医薬品会社,NASDAQ,○
ARES,アレス　マネジメント,個人・機関投資家向け資産運用を行う米国の会社,NYSE,○
ARL,アメリカン　リアルティ　インベスターズ,米国の完全統合型の外部管理不動産会社,NYSE,○
ARMK,アラマーク,食事と施設の管理サービスを提供する米国の会社,NYSE,○
ARQT,アーキュティス　バイオセラピューティクス,皮膚疾患の治療薬を開発・提供する米国のバイオ医薬品会社,NASDAQ,○
ARRY,アレイ　テクノロジーズ,太陽光追尾装置を提供する米国の会社,NASDAQ,○
ARVN,アルヴィナス,米国の臨床段階のバイオ医薬品会社,NASDAQ,○
ARW,アロー　エレクトロニクス,電子部品・ソリューションを提供する米国の会社,NYSE,○
ARWR,アローヘッド　ファーマシューティカルズ,米国のバイオ医薬品会社,NASDAQ,○
ASAN,アサナ,業務管理プラットフォームを提供する米国の会社,NYSE,○
ASB,アソシエーテッド　バンコープ,米国の銀行持株会社,NYSE,○
ASH,アシュランド,米国の添加剤・特殊成分メーカー,NYSE,○
ASIX,アドバンシックス,米国の総合化学会社,NYSE,○
ASLE,エアセール,民間航空アフターマーケットに焦点を当てる米国の会社,NASDAQ,○
ASO,アカデミー　スポーツ　アンド　アウトドア―ズ,米国のスポーツ・アウトドア用品の小売業者,NASDAQ,○
ASPN,アスペン　エアロジェルズ,エアロゲル材料を設計・開発・製造する米国の会社,NYSE,
ASPS,アルティソース　ポートフォリオ　ソリューションズ,不動産関連サービスを提供するルクセンブルグの会社,NASDAQ,○
ASTE,アステック　インダストリーズ,インフラ関連の重機を扱う米国のメーカー,NASDAQ,○
ASTH,アストラナ　ヘルス,米国のヘルスケア会社,NASDAQ,○
ASTS,ＡＳＴ　スペースモバイル,革新的な衛星を設計・製造する米国の電気通信事業者,NASDAQ,○
ASYS,アムテック　システムズ,熱処理装置・ウェハ洗浄装置などを扱う米国のメーカー,NASDAQ,○
ATEN,Ａ１０ネットワークス,ネットワークセキュリティ製品を開発する米国の会社,NYSE,○
CVSA,コビスタ,米国のヘルスケア教育機関,NYSE,○
ATI,ＡＴＩ,特殊素材・部品を扱う米国のメーカー,NYSE,○
ATKR,アトコア,米国の電気製品・インフラ製品メーカー,NYSE,○
ATNM,アクチニウム　ファーマシューティカルズ,米国の臨床段階のバイオ医薬品会社,NYSE American,
ATO,アトモス　エナジー,米国の天然ガス供給会社,NYSE,○
OPTU,オプティマム　コミュニケーションズ,米国のブロードバンド通信プロバイダー,NYSE,
ATYR,アティール　ファーマ,米国の臨床段階のバイオテクノロジー会社,NASDAQ,
AU,アングロゴールド　アシャンティ,英国の鉱業会社,NYSE,○
AUB,アトランティック　ユニオン　バンクシェアーズ,主にバージニア州で業務を行う米国の金融持株会社,NYSE,○
AUDC,オーディオコーズ,イスラエルのユニファイドコミュニケーション関連会社,NASDAQ,○
AUPH,オーリニア　ファーマシューティカルズ,カナダのバイオ医薬品会社,NASDAQ,○
AVAV,エアロバイロンメント,米国の防衛技術プロバイダー,NASDAQ,○
AVD,アメリカン　ヴァンガード,米国の専門製品・農業製品会社,NYSE,
AVGO,ブロードコム,半導体・半導体ベースソリューションに携わる米国企業,NASDAQ,○
AVIR,アテア　ファーマシューティカルズ,米国の臨床段階のバイオ医薬品会社,NASDAQ,
AVNS,アヴァノス　メディカル,米国の医療機器メーカー,NYSE,○
AVNT,アビエント,特殊材料とソリューションを提供する米国の会社,NYSE,○
AVT,アヴネット,電子部品・組込みソリューションを提供する米国の会社,NASDAQ,○
AVTR,アヴァントー,研究に必要な資材及び装置を製造する米国のメーカー,NYSE,○
AVY,エイブリー　デニソン,米国の材料科学・デジタルIDソリューション企業,NYSE,○
AWI,アームストロング　ワールド　インダストリーズ,米国の内外装建築材メーカー,NYSE,○
AWK,アメリカン　ウォーター　ワークス,米国の上下水道事業会社,NYSE,○
AWR,アメリカン　ステイツ　ウォーター,水道・電気サービスを提供する米国の公益事業会社,NYSE,○
AX,アクソス　ファイナンシャル,米国の金融持株会社,NYSE,○
AXON,アクソン　エンタープライズ,公共安全テクノロジーを手掛ける米国の会社,NASDAQ,○
AXP,アメリカン　エキスプレス,決済ソリューションを提供する米国のカード会社,NYSE,○
AXR,アムレップ,ニューメキシコ州で業務を行う米国の不動産会社,NYSE,○
AXS,アクシス　キャピタル　ホールディングス,バミューダ諸島の保険持株会社,NYSE,○
AXSM,アクサム　セラピューティクス,米国のバイオ医薬品会社,NASDAQ,○
AXTA,アクサルタ　コーティング　システムズ,米国の塗装材メーカー,NYSE,○
AYI,アキュイティー,照明・照明制御・ビル管理に関わる米国の産業技術会社,NYSE,○
AZO,オートゾーン,米国の自動車用交換部品・付属品の販売会社,NYSE,○
AZREF,アジューレ　パワー　グローバル,電力サービスを提供するインドの公益事業会社,OTC,
AZTA,アゼンタ,ライフサイエンス事業を行う米国の会社,NASDAQ,○
AZZ,ＡＺＺ,金属塗装ソリューションを提供する米国の会社,NYSE,○
B,バリック　マイニング,金・銅の探査・採掘・生産に従事するカナダの会社,NYSE,○
BA,ボーイング,米国の航空宇宙企業,NYSE,○
BAC,バンク　オブ　アメリカ,米国の金融持株会社,NYSE,○
BAH,ブーズ　アレン　ハミルトン　ホールディング,米国の防衛・安全保障関連の先進テクノロジー企業,NYSE,○
BALL,ボール,米国のアルミニウム製容器メーカー,NYSE,○
BANC,バンク　オブ　カリフォルニア,主にカリフォルニア州で業務を行う米国の銀行持株会社,NYSE,○
BANR,バナー,主にワシントン州において業務を行う米国の金融持株会社,NASDAQ,○
BAX,バクスターインターナショナル,米国の医薬品・医療機器メーカー,NYSE,○
BB,ブラックベリー,カナダのインテリジェントソフトウェア会社,NYSE,
BBIG,ビンコ　ベンチャーズ,デジタルメディアを開発する米国の会社,OTC,
BBIO,ブリッジバイオ　ファーマ,米国のバイオ医薬品会社,NASDAQ,○
BBWI,バス　＆　ボディ　ワークス,ボディケア用品などを扱う米国の会社,NYSE,○
BBY,ベスト　バイ,米国の家電量販店,NYSE,○
BC,ブランズウィック,米国の船舶用エンジン・ボートメーカー,NYSE,○
BCBP,ＢＣＢ　バンコープ,ニュージャージー州において業務を行う米国の金融持株会社,NASDAQ,○
BCC,ボイジー　カスケード,木材加工製品製造・建築資材卸売を手掛ける米国の会社,NYSE,○
BCE,ビーシーイー,カナダのテレコミュニケーション会社,NYSE,○
BCO,ブリンクス,現金・貴重品管理サービスを提供する米国の会社,NYSE,○
BCPC,バルケム,健康補助食品・医薬品用の化学原料を扱う米国のメーカー,NASDAQ,○
BDC,ベルデン,米国のスマートインフラと自動化ソリューション会社,NYSE,○
BDX,ベクトン　ディッキンソン,米国の医療技術会社,NYSE,○
BE,ブルーム　エナジー　Ａ,発電設備を扱う米国のメーカー,NYSE,○
BEEM,ビーム　グローバル,持続可能インフラ製品・技術を開発・製造する米国企業,NASDAQ,
BEN,フランクリン　リソーシズ,米国の投資運用持株会社,NYSE,○
BFH,ブレッド　ファイナンシャル　ホールディングス,米国の金融サービス会社,NYSE,○
BG,ブンゲ　グローバル,スイスの農業関連・食品事業会社,NYSE,○
BGS,Ｂ＆Ｇ　フーズ,貯蔵食品を扱う米国のメーカー,NYSE,
BHC,ボシュ　ヘルス　カンパニーズ,カナダのバイオ医薬品・医療機器会社,NYSE,○
BHE,ベンチマーク　エレクトロニクス,製品製造技術サービスを提供する米国の会社,NYSE,○
BHF,ブライトハウス　ファイナンシャル,年金・生命保険商品を提供する米国の会社,NASDAQ,○
BHRB,バーク　＆　ハーバート　ファイナンシャル　サービシズ,米国の銀行持株会社,NASDAQ,○
BHVN,バイオヘイヴン,米国の臨床段階のバイオ医薬品会社,NYSE,○
BIGGQ,ビッグ　ロッツ,米国のディスカウント小売チェーン,OTC,
BIIB,バイオジェン,米国のバイオ医薬品会社,NASDAQ,○
BILL,ビル　ホールディングス,財務ソフトウェアプラットフォームを提供する米国企業,NYSE,○
BIO,バイオ‐ラッド　ラボラトリーズ　Ａ,米国のライフサイエンス研究・臨床診断用製品メーカー,NYSE,○
BIPC,ブルックフィールド　インフラストラクチャ,インフラ資産を所有・運営する米国の会社,NYSE,○
BJ,ＢＪ’ｓ　ホールセール　クラブ　ホールディングス,会員制倉庫型クラブを展開する米国の会社,NYSE,○
BJRI,ＢＪ’ｓ　レストラン,米国のレストランチェーン運営会社,NASDAQ,○
BK,バンク　オブ　ニューヨーク　メロン,米国の銀行持株会社,NYSE,○
BKE,バックル,カジュアル衣料品の小売店を展開する米国の会社,NYSE,○
BKH,ブラック　ヒルズ,米国のエネルギー公益事業会社,NYSE,○
BKNG,ブッキング　ホールディングス,旅行予約サイトを運営する米国の会社,NASDAQ,○
BKR,ベーカー　ヒューズ,米国のエネルギーテクノロジー企業,NASDAQ,○
BKSY,ブラックスカイ　テクノロジー,リアルタイムの地理空間情報を提供する米国の会社,NYSE,○
BKU,バンクユナイテッド,主にフロリダ州で業務を行う米国の銀行持株会社,NYSE,○
BL,ブラックライン,財務データプラットフォームを提供する米国の会社,NASDAQ,○
BLD,トップビルド,主に断熱材を取り扱う米国の建設資材会社,NYSE,○
BLDP,バラード　パワー　システムズ,燃料電池を扱うカナダのメーカー,NASDAQ,
BLDR,ビルダーズ　ファーストソース,建築用資材を製造販売する米国の会社,NYSE,○
BLIN,ブリッジライン　デジタル,米国のマーケティングテクノロジー会社,NASDAQ,
BLK,ブラックロック,米国の資産運用会社,NYSE,○
BLKB,ブラックボー,AI搭載ソリューションを提供する米国の会社,NASDAQ,○
BLSH,ブリッシュ,ケイマン諸島のデジタル資産プラットフォーム運営会社,NYSE,○
BMBL,バンブル,女性主導のマッチングアプリを運営する米国の会社,NASDAQ,
BMI,バジャー　メーター,包括的な水管理ソリューションを提供する米国の会社,NYSE,○
BMO,バンク　オブ　モントリオール,主に北米でサービスを提供するカナダの銀行,NYSE,○
BMRA,バイオメリカ,米国のバイオメディカルテクノロジー企業,NASDAQ,
BMRC,バンク　オブ　マリン　バンコープ,カリフォルニア州において業務を行う米国の金融持株会社,NASDAQ,○
BMRN,バイオマリン　ファーマシューティカル,米国のバイオテクノロジー会社,NASDAQ,○
BMY,ブリストル－マイヤーズ　スクイブ,米国のバイオ医薬品会社,NYSE,○
BN,ブルックフィールド,カナダの資産運用会社,NYSE,○
BNED,バーンズ　アンド　ノーブル　エデュケーション,教育機関向けの書店を運営する米国の会社,NYSE,○
BNS,バンク　オブ　ノバ　スコシア［ノバ　スコシア銀行］,カナダの金融持株会社,NYSE,○
BOC,ボストン　オマハ,米国の広告・保険・ブロードバンド・資産運用事業会社,NYSE,○
BOH,バンク　オブ　ハワイ,太平洋域で金融サービスを提供する米国の銀行持株会社,NYSE,○
BOKF,ＢＯＫ　ファイナンシャル,オクラホマ州などで業務を行う米国の金融持株会社,NASDAQ,○
BOOT,ブート　バーン　ホールディングス,米国のウエスタンブーツ・アパレルの小売チェーン,NYSE,○
BOX,ボックス,米国のクラウドコンテンツ管理プラットフォーム会社,NYSE,○
BPOP,ポピュラー,主にプエルトリコで業務を行う米国の金融持株会社,NASDAQ,○
BR,ブロードリッジ　ファイナンシャル　ソリューションズ,米国の金融テクノロジーサービス会社,NYSE,○
BRBR,ベルリング　ブランズ,米国の栄養食品メーカー,NYSE,○
BRC,ブレイディ,米国の識別・安全確認用製品メーカー,NYSE,○
BRK.B,バークシャー　ハサウェイ　Ｂ,保険・公益・鉄道などの事業を展開する米国の持株会社,NYSE,○
BRKR,ブルカー,生命科学・診断ソリューションを提供する米国の会社,NASDAQ,○
BRO,ブラウン　＆　ブラウン,米国の保険代理店,NYSE,○
BROS,ダッチ　ブロス,ドライブスルー形式でドリンクを販売する米国の会社,NYSE,○
BRSL,ブライトスター　ロトリー,英国の宝くじ事業会社,NYSE,○
BRZE,ブレイズ,米国の顧客エンゲージメント関連のソフトウェア会社,NASDAQ,○
BSVN,バンク７,主にオクラホマ州において業務を行う米国の金融持株会社,NASDAQ,○
BSX,ボストン　サイエンティフィック,米国の医療機器メーカー,NYSE,○
BSY,ベントレー　システムズ,インフラ向けソフトウェアを提供する米国の会社,NASDAQ,○
BTBT,ビット　デジタル,米国のHPCインフラ・デジタル資産生成事業会社,NASDAQ,
BTU,ピーボディ　エナジー,米国の冶金用および火力用石炭生産会社,NYSE,○
BURL,バーリントン　ストアーズ,米国のファッション関連商品のオフプライス小売業者,NYSE,○
BUSE,ファースト　ビューシー,主にイリノイ州で業務を行う米国の金融持株会社,NASDAQ,○
BWA,ボルグワーナー,米国の自動車テクノロジーソリューション提供会社,NYSE,○
BWIN,ボールドウィン　インシュアランス　グループ,米国の保険販売会社,NASDAQ,○
BWXT,ＢＷＸ　テクノロジーズ,原子力関連製品を開発する米国の機械メーカー,NYSE,○
BX,ブラックストーン,米国のオルタナティブ資産運用会社,NYSE,○
BXC,ブルーリンクス　ホールディングス,住宅・商業建築資材を卸売りする米国の会社,NYSE,○
BYD,ボイド　ゲーミング,ゲームエンターテインメント施設を運営する米国の会社,NYSE,○
BYFC,ブロードウェイ　ファイナンシャル,カリフォルニア州等で業務を行う米国の銀行持株会社,NASDAQ,○
BYND,ビヨンド・ミート,植物由来の人工肉を開発・製造・販売する米国の会社,NASDAQ,
BBBY,ベッド　バス　＆　ビヨンド,米国のeコマースを中心とした小売事業者,NYSE,○
BYSI,ビヨンドスプリング,米国の臨床段階のバイオ医薬品会社,NASDAQ,
C,シティグループ,米国の総合金融サービス持株会社,NYSE,○
